text,labels
"@realDonaldTrump This is one of the worst times to be American, because you are causing serious damage to our country. I sure don't wish you a Happy Father's Day, because everyone knows you're a terrible father. #DerangedDonald #TrumpisaTraitor #TrumpisaCriminal",0
How about the crowd in Oval in today's #AUSvIND holding Balidan badge banners along with Indian flags? #DhoniKeepsTheGlove,1
@skroskz @shossy2 @JoeBiden Biden &amp; his son Hunter took advantage of their position to use Air Force 2 to wheel &amp; deal with China &amp; Ukraine! I don’t trust Biden or his son Hunter who left his wife &amp; kids to move in with his dead brother’s wife &amp; family! #DOUCHEBAG,0
#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt https://t.co/cFqiGN6kbT #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump #taxday https://t.co/i1hJPvIEkc,1
@realDonaldTrump Good build a wall around Arkansas! #FuckTrump #FuckSarahHuckabee,0
Meanwhile ....Dhoni's Reply To ICC ......    #DhoniKeepTheGlove #DhoniKeepsTheGlove   #DhoniKeSaathDesh  #dhonigloves #dhoni https://t.co/cEOOw8Kln3,1
@MeredthSalenger Anything to get a war to distract. #FuckTrump #FuckPompeo #GulfOfTonkin all over again. #SeerhingAnger I have. https://t.co/DmW9fwZjl9,1
Why the FUCK did Doris mention demar lmfaooooo. #dickhead,0
@KimKardashian #trump2020 #fucktrump  Maybe you can hire the ex cons to perform with you in your sex tape enterprises.    Dog Vomit Trump and his porn star presidency.  Horseshit. https://t.co/qKHEfvp5qQ,0
"@matthewamiller Because there are no consequences to individual #1. He basically advertised for free on TV that he is open to foreign help.  Case by case, using what criteria? 🤔  #TrumpIsACriminal  #ImpeachDonaldTrumpNOW #TrumpIsATraitor",0
"The NRA begs gun nuts for donations, spends lavishly on its board of directors and execs #Resist #ResistTrump #FuckTrump https://t.co/AibHbynDzK",1
"@bbc5live @JohnnyMercerUK @Emmabarnett Imagine if this was Corbyn !! All the Johnson fans would be exploding with rage , then add the lying , cheating etc they would be asking for his arrest . The tories have utterly lost any moral high ground by going for a completely immoral man #BorisJohnsonShouldNotBePM",1
"@thehill @PressSec will go down in history as the LIAR who tried to gaslight America, shared a doctored #FakeNews video, and so much more, all in service of a #corruptAF @POTUS. @michelleisawolf hit the nail on the head, 'maybe she's born with it, maybe it's lies.' #ByeFelicia #FUCKTRUMP https://t.co/HCZrhkWhLQ",0
"#Huawei asks #Verizon to pay more than $1 billion for over 230 patents: Source https://t.co/1EakIMUYeZ It is clear what is happening here. Letting things ride to gain control, but now change in approach. Throw them out of the system completely. #tradewar #tariffs #BoycottChina",1
"@ClaretSupreme @SkyFootball @SkySports Send us a link to a report on the 3-0 vs the u15's.... Oh that's correct, you've made that up #dickhead",1
@BCCI It's raining tomorrow #CWC19 another washout... Sad.  #ShameOnICC https://t.co/heXMj3HBOV,1
Put a stick in this man's hand. Whether it be drum or pool or match or etc. He will murder something with it. #murderer #killer #maxthunder #angelicdesolation #pool #playingpool #poolhustler #thatboysgotthedevilinhim… https://t.co/LYJzsLlMTx,0
@ICC Rain will take all 20 wickets.... #ShameOnICC,1
"If the #US wanted war with #Iran, they had their pretexts for war long ago. America fears Iran’s ambitious military program, they know the consequences that will follow will be severe. The White House has really backed themselves in a tight corner on this one. #IdiotTrump",1
@JohnnyMercerUK It's not just his private life. He is a career list. So he cannot be trusted. And just because desperate Tories do doesn't mean the nation does #BorisJohnsonShouldNotBePM,0
World Cup#Umpiring these days #ShameOnICC https://t.co/zAMTjWh8H6,1
"In Al Capone's whole life, I don't think he called the FBI eithet...#Trump #TrumpIsATraitor",1
@TheQuint WTF. @MamataOfficial ji's own nephew (and Kolkata mayor's daughter) are protesting as doctors. Are they #outsiders too? Is she willingly ignoring blood relations for petty political gains? #DoctorsFightBack #DoctorStrike,0
"@PoddarVaishali @aajtak Haha , cling themselves working on mission #congressmuktbharat",1
"No matter what, we stand with you @msdhoni sir!!!  #DhoniKeepsTheGlove #BalidaanBadge #IndiaWithDhoni https://t.co/wGmCvLKHZg",1
"Well, Johnson is actually always bumbling into and out of things...    #BorisJohnsonShouldNotBePM #borisjohnson     https://t.co/9GZyptoXQE",1
#FuckTrump  Still.  Again  Please. https://t.co/ogxH1TDZxy,0
@cricketworldcup #ShameOnICC   We Enjoyed Rain only,1
"Dear @narendramodi @PMOIndia @myogiadityanath Sir,    We request please legal pre sex determination as govt. Is unable to control these bastards #rapist  #murderers so we don't want our child as girl when you will be able to control these we would be happy to born #goddesslaxmi..",0
oval office moron embarrasses u.s. again. #fucktrump https://t.co/khdHzeV3pz,0
"Does it have t be said... the president can’t call intelligence reports he doesn’t like “fake news”, and then turn around and expect US to believe intelligence reports that Iran attacked oil ships? ##NoWarWithIran #TrumpIsATraitor #trump",1
